2026-05-02_12-03-55
program,N,elapsed_seconds
cpp11_ufloat32,1000000000,131.652289
cpp11_ufloat64,1000000000,135.767578
cpp11_uint32,1000000000,16.251103
cpp11_uint64,1000000000,16.738546
gsl_ufloat64,1000000000,6.221771
gsl_uint64,1000000000,5.645034
sfmt_ufloat64_real2,1000000000,15.832263
sfmt_ufloat64_real3,1000000000,16.004282
sfmt_uint32,1000000000,11.193097
sfmt_uint64,1000000000,19.067696
gsl_python_uint,1000000000,206.053613
gsl_python_uniform,1000000000,196.192223
random_python_ufloat,1000000000,162.130130
random_python_uint,1000000000,174.585334
